datetime,cash,commission,eurusd,total,returns,equity_curve,drawdown
2017-01-01 00:00:00,10000.0,0.0,0.0,10000.0,,,
2017-01-02 23:05:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:10:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:15:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:20:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:25:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:30:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:35:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:40:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:45:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:50:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-02 23:55:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:00:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:05:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:10:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:15:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:20:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:25:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:30:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:35:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:40:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:45:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:50:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 00:55:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:00:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:05:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:10:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:15:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:20:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:25:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:30:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:35:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:40:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:45:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
2017-01-03 01:50:00,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0
